order_id,user_id,session_id,order_at,revenue,currency
66,198,862,2026-03-19 03:13:00,76.44,USD
67,198,868,2026-03-13 23:55:00,41.85,USD
68,202,882,2026-03-16 23:23:00,84.66,USD
69,205,893,2026-03-06 13:21:00,72.19,USD
70,209,902,2026-03-11 21:40:00,62.14,USD
71,214,919,2026-03-04 17:46:00,79.32,USD
72,235,1015,2026-03-07 17:55:00,34.66,USD
73,235,1018,2026-03-03 20:18:00,28.43,USD
74,252,1103,2026-03-12 15:14:00,146.89,USD
75,255,1112,2026-03-22 15:06:00,172.54,USD
76,255,1113,2026-03-23 06:39:00,114.34,USD
77,257,1122,2026-03-12 02:58:00,74.79,USD
78,262,1151,2026-03-14 18:43:00,35.31,USD
79,269,1171,2026-03-16 14:52:00,114.04,USD
80,270,1175,2026-03-09 15:24:00,26.94,USD
81,276,1195,2026-03-11 18:00:00,203.46,USD
82,277,1203,2026-03-15 09:35:00,65.73,USD
83,278,1206,2026-03-06 09:14:00,21.73,USD
84,284,1227,2026-03-18 05:18:00,31.82,USD
85,286,1236,2026-03-24 18:13:00,83.76,USD
86,289,1254,2026-03-05 21:30:00,128.99,USD
87,290,1260,2026-03-12 13:52:00,83.22,USD
88,291,1268,2026-03-25 21:45:00,77.47,USD
89,293,1272,2026-03-15 06:07:00,68.91,USD
90,293,1274,2026-03-12 17:58:00,21.52,USD
91,295,1288,2026-03-14 22:35:00,15.12,USD
92,296,1297,2026-03-12 17:46:00,30.07,USD
93,297,1308,2026-03-24 18:45:00,11.3,USD
94,298,1312,2026-03-19 09:39:00,24.1,USD
95,301,1330,2026-03-18 13:16:00,13.93,USD
96,305,1339,2026-03-14 14:09:00,9.4,USD
97,305,1341,2026-03-19 04:46:00,21.5,USD
98,308,1350,2026-03-06 21:30:00,32.27,USD
99,316,1380,2026-03-18 03:44:00,97.07,USD
100,318,1388,2026-03-05 20:47:00,32.11,USD
101,320,1395,2026-03-11 20:50:00,68.04,USD
102,321,1399,2026-03-23 08:59:00,5.71,USD
103,321,1401,2026-03-19 16:16:00,63.7,USD
104,321,1402,2026-03-15 07:41:00,15.43,USD
105,321,1403,2026-03-16 22:01:00,100.9,USD
106,327,1437,2026-03-05 20:54:00,34.37,USD
107,334,1464,2026-03-15 15:30:00,41.25,USD
108,334,1465,2026-03-15 18:54:00,32.61,USD
109,336,1471,2026-03-20 19:58:00,98.55,USD
110,340,1483,2026-03-20 01:04:00,53.87,USD
111,342,1492,2026-03-14 07:48:00,46.91,USD
112,343,1508,2026-03-11 02:07:00,50.27,USD
113,349,1538,2026-03-15 17:27:00,43.31,USD
114,365,1595,2026-03-23 21:38:00,59.3,USD
115,368,1609,2026-03-18 01:00:00,59.39,USD
116,370,1622,2026-03-10 07:38:00,65.41,USD
117,374,1642,2026-03-02 08:33:00,44.75,USD
118,375,1645,2026-03-15 15:24:00,27.05,USD
119,377,1652,2026-03-27 12:33:00,67.66,USD
120,378,1657,2026-03-16 02:57:00,44.17,USD
121,379,1661,2026-03-10 07:23:00,58.26,USD
122,380,1672,2026-03-15 09:38:00,47.46,USD
123,388,1719,2026-03-20 00:36:00,28.06,USD
124,392,1735,2026-03-15 03:58:00,95.41,USD
125,397,1766,2026-03-21 23:16:00,91.86,USD
126,400,1784,2026-03-10 06:42:00,22.34,USD
127,402,1793,2026-03-19 09:01:00,68.41,USD
128,403,1798,2026-03-04 12:54:00,49.6,USD
129,405,1802,2026-03-20 19:08:00,75.61,USD
130,406,1808,2026-03-08 04:33:00,39.83,USD
131,408,1824,2026-03-15 18:37:00,62.59,USD
132,410,1833,2026-03-18 07:41:00,33.26,USD
133,412,1847,2026-03-11 05:25:00,12.15,USD
134,413,1852,2026-03-16 03:14:00,22.32,USD
135,414,1856,2026-03-13 20:16:00,16.17,USD
136,420,1881,2026-03-16 07:16:00,22.23,USD
137,425,1897,2026-03-12 11:24:00,61.46,USD
138,433,1938,2026-03-21 16:31:00,106.26,USD
139,434,1950,2026-03-23 22:20:00,8.57,USD
140,434,1952,2026-03-13 14:07:00,84.32,USD
141,434,1953,2026-03-21 13:28:00,13.32,USD
142,437,1964,2026-03-03 23:27:00,29.16,USD
143,442,1989,2026-03-18 13:39:00,13.14,USD
144,443,1992,2026-03-14 13:55:00,68.16,USD
145,449,2024,2026-03-17 22:22:00,66.41,USD
146,450,2029,2026-03-23 19:01:00,10.43,USD
147,450,2030,2026-03-24 01:40:00,12.85,USD
148,452,2037,2026-03-14 22:37:00,114.24,USD
149,453,2044,2026-03-16 17:45:00,38.9,USD
150,455,2048,2026-03-22 21:25:00,58.27,USD
151,457,2053,2026-03-17 23:06:00,114.35,USD
152,468,2100,2026-03-21 16:26:00,80.38,USD
153,474,2126,2026-03-12 23:30:00,62.05,USD
154,478,2137,2026-03-22 07:53:00,155.16,USD
155,479,2145,2026-03-12 13:57:00,22.87,USD
156,480,2153,2026-03-19 16:30:00,98.36,USD
157,483,2160,2026-03-10 02:06:00,26.22,USD
158,489,2181,2026-03-17 14:54:00,11.3,USD
159,490,2182,2026-03-13 06:09:00,42.3,USD
160,491,2190,2026-03-09 07:05:00,42.37,USD
161,492,2194,2026-03-15 12:34:00,55.92,USD
162,497,2209,2026-03-17 07:12:00,4.72,USD
163,500,2223,2026-03-18 10:57:00,45.9,USD
164,501,2231,2026-03-12 16:38:00,58.05,USD
165,502,2236,2026-03-03 01:13:00,39.08,USD
166,520,2315,2026-03-13 19:26:00,42.07,USD
167,520,2316,2026-03-06 11:29:00,76.81,USD
168,527,2345,2026-03-09 16:24:00,59.97,USD
169,527,2346,2026-03-19 05:08:00,16.31,USD
170,528,2354,2026-03-23 07:58:00,-10.0,USD
171,534,2387,2026-03-15 18:00:00,46.69,USD
172,536,2390,2026-03-15 09:44:00,59.4,USD
173,538,2396,2026-03-08 08:30:00,31.78,USD
174,540,2402,2026-03-18 07:12:00,20.17,USD
175,545,2432,2026-03-14 00:19:00,7.25,USD
176,547,2440,2026-03-21 07:45:00,60.25,USD
177,552,2459,2026-03-07 21:29:00,27.3,USD
178,554,2464,2026-03-21 23:50:00,33.62,USD
179,558,2479,2026-03-15 08:29:00,36.37,USD
180,566,2520,2026-03-15 01:12:00,69.28,USD
181,566,2521,2026-03-17 00:26:00,61.59,USD
182,569,2529,2026-03-20 18:04:00,72.2,USD
183,572,2540,2026-03-13 00:00:00,49.54,USD
184,572,2545,2026-03-14 08:01:00,185.12,USD
185,572,2548,2026-03-11 23:57:00,24.6,USD
186,572,2549,2026-03-12 12:02:00,36.6,USD
187,579,2583,2026-03-28 03:44:00,32.45,USD
188,580,2587,2026-03-13 12:36:00,6.82,USD
189,582,2594,2026-03-19 18:20:00,30.74,USD
190,591,2637,2026-03-04 20:27:00,44.58,USD
191,596,2658,2026-03-27 01:37:00,67.62,USD
192,601,2676,2026-03-15 21:58:00,64.71,USD
193,603,2692,2026-03-12 20:31:00,131.69,USD
194,603,2694,2026-03-16 08:58:00,23.62,USD
195,605,2711,2026-03-16 11:16:00,60.04,USD
196,609,2727,2026-03-22 06:38:00,145.95,USD
197,612,2740,2026-03-20 21:35:00,37.23,USD
198,613,2742,2026-03-18 10:44:00,97.94,USD
199,613,2743,2026-03-14 10:15:00,8.12,USD
200,614,2746,2026-03-12 00:47:00,28.76,USD
201,614,2751,2026-03-22 02:47:00,17.26,USD
202,616,2762,2026-03-19 15:26:00,58.48,USD
203,617,2766,2026-03-06 08:59:00,37.1,USD
204,621,2784,2026-03-14 10:21:00,32.99,USD
205,622,2790,2026-03-19 02:20:00,54.85,USD
206,624,2798,2026-03-02 14:16:00,53.18,USD
207,630,2826,2026-03-08 20:51:00,58.7,USD
208,630,2829,2026-03-11 03:36:00,25.05,USD
209,631,2833,2026-03-22 04:52:00,51.17,USD
210,632,2834,2026-03-13 23:21:00,30.84,USD
211,636,2851,2026-03-05 20:53:00,14.57,USD
212,637,2854,2026-03-19 09:37:00,42.43,USD
213,638,2861,2026-03-07 14:13:00,206.61,USD
214,639,2862,2026-03-16 09:40:00,41.38,USD
215,640,2866,2026-03-07 23:09:00,34.8,USD
216,645,2885,2026-03-09 03:28:00,66.45,USD
217,647,2895,2026-03-16 13:44:00,36.62,USD
218,652,2915,2026-03-11 14:01:00,29.12,USD
219,653,2916,2026-03-13 08:05:00,49.35,USD
220,655,2929,2026-03-22 03:58:00,37.8,USD
221,659,2946,2026-03-15 13:02:00,99.64,USD
222,659,2949,2026-03-12 20:51:00,46.1,USD
223,662,2967,2026-03-13 00:11:00,10.33,USD
224,662,2969,2026-03-20 04:55:00,41.2,USD
225,663,2973,2026-03-27 07:01:00,41.26,USD
226,664,2979,2026-03-06 13:57:00,86.25,USD
227,665,2983,2026-03-18 12:12:00,41.63,USD
228,675,3023,2026-03-21 00:39:00,18.38,USD
229,675,3026,2026-03-24 14:08:00,46.13,USD
230,684,3061,2026-03-13 18:59:00,38.56,USD
231,692,3100,2026-03-17 17:17:00,94.3,USD
232,696,3125,2026-03-12 07:54:00,25.61,USD
233,697,3131,2026-03-18 10:46:00,75.73,USD
234,703,3148,2026-03-21 07:45:00,21.2,USD
235,704,3154,2026-03-17 17:15:00,148.08,USD
236,712,3191,2026-03-13 15:27:00,56.49,USD
237,714,3204,2026-03-10 03:49:00,16.98,USD
238,722,3235,2026-03-15 20:32:00,58.26,USD
239,734,3279,2026-03-23 17:33:00,32.64,USD
240,736,3288,2026-03-19 09:08:00,82.73,USD
241,738,3296,2026-03-13 10:55:00,20.1,USD
242,740,3306,2026-03-05 12:50:00,67.9,USD
243,742,3315,2026-03-19 05:19:00,54.51,USD
244,743,3316,2026-03-09 11:32:00,88.7,USD
245,743,3319,2026-03-09 15:15:00,60.19,USD
246,743,3322,2026-03-16 13:36:00,59.34,USD
247,743,3324,2026-03-18 12:58:00,55.88,USD
248,744,3326,2026-03-07 10:44:00,34.32,USD
249,750,3349,2026-03-03 08:05:00,49.68,USD
250,751,3353,2026-03-16 09:07:00,124.85,USD
251,758,3375,2026-03-20 19:46:00,43.33,USD
252,764,3389,2026-03-07 07:12:00,54.98,USD
253,765,3396,2026-03-10 04:54:00,112.25,USD
254,774,3425,2026-03-12 18:55:00,50.33,USD
255,776,3435,2026-03-13 12:57:00,42.04,USD
256,776,3440,2026-03-14 22:48:00,48.24,USD
257,776,3441,2026-03-11 12:01:00,70.71,USD
258,782,3463,2026-03-18 07:51:00,48.04,USD
259,787,3486,2026-03-21 02:27:00,45.66,USD
260,787,3491,2026-03-15 20:44:00,18.51,USD
261,789,3498,2026-03-10 08:17:00,64.8,USD
262,805,3567,2026-03-22 11:04:00,21.32,USD
263,805,3568,2026-03-18 22:00:00,43.49,USD
264,806,3572,2026-03-11 14:18:00,146.0,USD
265,811,3587,2026-03-16 06:50:00,10.09,USD
266,813,3595,2026-03-17 17:57:00,87.15,USD
267,815,3603,2026-03-04 00:41:00,42.71,USD
268,817,3616,2026-03-12 00:45:00,90.99,USD
269,819,3625,2026-03-13 13:14:00,39.93,USD
270,824,3636,2026-03-04 23:54:00,58.22,USD
271,825,3640,2026-03-11 03:09:00,59.2,USD
272,828,3650,2026-03-18 06:15:00,31.59,USD
273,839,3705,2026-03-17 18:50:00,121.81,USD
274,840,3708,2026-03-06 01:32:00,23.45,USD
275,840,3709,2026-03-06 17:46:00,21.17,USD
276,843,3719,2026-03-19 00:50:00,46.38,USD
277,843,3724,2026-03-24 09:13:00,63.66,USD
278,850,3756,2026-03-09 22:15:00,30.31,USD
279,853,3768,2026-03-08 20:02:00,141.36,USD
280,858,3799,2026-03-16 08:13:00,50.6,USD
281,860,3805,2026-03-07 23:52:00,130.18,USD
282,861,3810,2026-03-04 08:41:00,69.44,USD
283,861,3812,2026-03-05 15:16:00,42.38,USD
284,866,3826,2026-03-19 01:18:00,29.41,USD
285,867,3838,2026-03-13 02:54:00,74.58,USD
286,868,3843,2026-03-05 01:31:00,1.36,USD
287,871,3854,2026-03-17 12:39:00,50.65,USD
288,873,3859,2026-03-09 10:01:00,52.52,USD
289,876,3875,2026-03-06 15:05:00,40.68,USD
290,882,3903,2026-03-17 08:59:00,49.68,USD
291,882,3904,2026-03-11 03:04:00,64.47,USD
292,883,3908,2026-03-23 13:00:00,31.4,USD
293,884,3912,2026-03-20 03:40:00,62.08,USD
294,885,3914,2026-03-23 13:48:00,16.65,USD
295,894,3945,2026-03-09 14:02:00,85.15,USD
296,894,3946,2026-03-03 01:26:00,17.51,USD
297,896,3958,2026-03-11 08:53:00,30.95,USD
298,901,3972,2026-03-19 12:13:00,49.43,USD
299,904,3983,2026-03-15 15:54:00,79.13,USD
300,908,4001,2026-03-10 08:21:00,64.96,USD
301,912,4017,2026-03-14 10:12:00,29.83,USD
302,913,4024,2026-03-25 22:01:00,24.25,USD
303,913,4025,2026-03-17 09:31:00,29.78,USD
304,913,4031,2026-03-15 02:03:00,111.87,USD
305,913,4033,2026-03-17 03:31:00,20.0,USD
306,914,4037,2026-03-14 00:39:00,49.38,USD
307,914,4039,2026-03-13 10:06:00,45.89,USD
308,915,4045,2026-03-11 04:29:00,126.04,USD
309,920,4064,2026-03-08 19:51:00,13.52,USD
310,923,4073,2026-03-09 12:29:00,82.18,USD
311,924,4079,2026-03-05 12:55:00,68.68,USD
312,929,4104,2026-03-22 03:37:00,61.52,USD
313,930,4106,2026-03-13 17:57:00,93.82,USD
314,933,4116,2026-03-04 04:12:00,67.53,USD
315,939,4138,2026-03-11 09:42:00,35.28,USD
316,942,4146,2026-03-13 06:07:00,71.04,USD
317,942,4150,2026-03-16 18:06:00,99.32,USD
318,942,4151,2026-03-11 22:49:00,39.01,USD
319,944,4165,2026-03-13 10:15:00,47.03,USD
320,947,4177,2026-03-13 11:06:00,15.08,USD
321,949,4194,2026-03-07 10:40:00,24.73,USD
322,956,4236,2026-03-11 02:37:00,103.35,USD
323,965,4268,2026-03-18 05:23:00,-10.0,USD
324,965,4269,2026-03-15 16:41:00,146.67,USD
325,967,4276,2026-03-12 13:24:00,49.71,USD
326,967,4285,2026-03-16 00:53:00,35.85,USD
327,974,4316,2026-03-06 15:21:00,97.11,USD
328,979,4338,2026-03-22 15:22:00,52.69,USD
329,983,4366,2026-03-20 01:01:00,136.04,USD
330,987,4381,2026-03-07 20:29:00,48.23,USD
331,987,4382,2026-03-18 21:26:00,22.12,USD
332,991,4403,2026-03-05 11:23:00,30.12,USD
333,995,4416,2026-03-23 08:02:00,82.88,USD
334,996,4425,2026-03-23 20:19:00,139.03,USD
