exposure_id,experiment_name,user_id,variant,surface,exposed_at
37,checkout_progress_indicator,37,treatment,checkout,2026-03-07 04:45:00
38,checkout_progress_indicator,38,treatment,checkout,2026-03-03 00:54:00
39,checkout_progress_indicator,39,control,checkout,2026-03-09 15:55:00
40,checkout_progress_indicator,40,control,checkout,2026-03-08 23:35:00
41,checkout_progress_indicator,41,control,checkout,2026-03-09 20:50:00
42,checkout_progress_indicator,42,control,checkout,2026-03-07 05:04:00
43,checkout_progress_indicator,43,treatment,checkout,2026-03-05 00:05:00
44,checkout_progress_indicator,44,control,checkout,2026-03-04 11:51:00
45,checkout_progress_indicator,45,control,checkout,2026-03-04 00:17:00
46,checkout_progress_indicator,46,control,checkout,2026-03-07 00:17:00
47,checkout_progress_indicator,47,treatment,checkout,2026-03-07 07:41:00
48,checkout_progress_indicator,48,control,checkout,2026-03-10 10:18:00
49,checkout_progress_indicator,49,treatment,checkout,2026-03-01 17:37:00
50,checkout_progress_indicator,50,control,checkout,2026-03-04 22:39:00
51,checkout_progress_indicator,51,control,checkout,2026-03-12 22:28:00
52,checkout_progress_indicator,52,treatment,checkout,2026-03-13 19:31:00
53,checkout_progress_indicator,53,control,checkout,2026-03-14 00:47:00
54,checkout_progress_indicator,54,treatment,checkout,2026-03-05 06:55:00
55,checkout_progress_indicator,55,control,checkout,2026-03-02 22:04:00
56,checkout_progress_indicator,56,treatment,checkout,2026-03-03 18:35:00
57,checkout_progress_indicator,57,treatment,checkout,2026-03-02 20:18:00
58,checkout_progress_indicator,58,treatment,checkout,2026-03-14 08:44:00
59,checkout_progress_indicator,59,control,checkout,2026-03-13 08:49:00
60,checkout_progress_indicator,60,treatment,checkout,2026-03-12 08:20:00
61,checkout_progress_indicator,61,treatment,checkout,2026-03-11 05:12:00
62,checkout_progress_indicator,62,control,checkout,2026-03-05 19:17:00
63,checkout_progress_indicator,63,control,checkout,2026-03-07 15:49:00
64,checkout_progress_indicator,64,treatment,checkout,2026-03-12 18:43:00
65,checkout_progress_indicator,65,control,checkout,2026-03-12 09:37:00
66,checkout_progress_indicator,66,treatment,checkout,2026-03-08 06:19:00
67,checkout_progress_indicator,67,treatment,checkout,2026-03-12 17:25:00
68,checkout_progress_indicator,68,control,checkout,2026-03-05 20:30:00
69,checkout_progress_indicator,69,treatment,checkout,2026-03-06 18:56:00
70,checkout_progress_indicator,70,treatment,checkout,2026-03-12 18:06:00
71,checkout_progress_indicator,71,control,checkout,2026-03-06 06:28:00
72,checkout_progress_indicator,72,treatment,checkout,2026-03-11 12:43:00
73,checkout_progress_indicator,73,control,checkout,2026-03-07 08:18:00
74,checkout_progress_indicator,74,control,checkout,2026-03-05 04:05:00
75,checkout_progress_indicator,75,treatment,checkout,2026-03-04 01:31:00
76,checkout_progress_indicator,76,control,checkout,2026-03-09 11:50:00
77,checkout_progress_indicator,77,treatment,checkout,2026-03-07 17:09:00
78,checkout_progress_indicator,78,control,checkout,2026-03-06 04:06:00
79,checkout_progress_indicator,79,control,checkout,2026-03-11 09:42:00
80,checkout_progress_indicator,80,control,checkout,2026-03-01 00:21:00
81,checkout_progress_indicator,81,treatment,checkout,2026-03-02 06:58:00
82,checkout_progress_indicator,82,treatment,checkout,2026-03-14 11:10:00
83,checkout_progress_indicator,83,treatment,checkout,2026-03-10 06:56:00
84,checkout_progress_indicator,84,treatment,checkout,2026-03-08 16:40:00
85,checkout_progress_indicator,85,treatment,checkout,2026-03-01 04:57:00
86,checkout_progress_indicator,86,treatment,checkout,2026-03-09 09:04:00
87,checkout_progress_indicator,87,treatment,checkout,2026-03-07 02:05:00
88,checkout_progress_indicator,88,treatment,checkout,2026-03-09 09:33:00
89,checkout_progress_indicator,89,treatment,checkout,2026-03-01 13:46:00
90,checkout_progress_indicator,90,treatment,checkout,2026-03-08 17:00:00
91,checkout_progress_indicator,91,control,checkout,2026-03-09 02:09:00
92,checkout_progress_indicator,92,control,checkout,2026-03-05 01:27:00
93,checkout_progress_indicator,93,treatment,checkout,2026-03-01 18:18:00
94,checkout_progress_indicator,94,control,checkout,2026-03-14 14:26:00
95,checkout_progress_indicator,95,control,checkout,2026-03-10 22:21:00
96,checkout_progress_indicator,96,treatment,checkout,2026-03-09 16:52:00
97,checkout_progress_indicator,97,control,checkout,2026-03-11 17:44:00
98,checkout_progress_indicator,98,control,checkout,2026-03-10 09:25:00
99,checkout_progress_indicator,99,control,checkout,2026-03-02 21:09:00
100,checkout_progress_indicator,100,control,checkout,2026-03-07 08:48:00
101,checkout_progress_indicator,101,treatment,checkout,2026-03-13 10:35:00
102,checkout_progress_indicator,102,treatment,checkout,2026-03-05 00:43:00
103,checkout_progress_indicator,103,treatment,checkout,2026-03-14 14:39:00
104,checkout_progress_indicator,104,treatment,checkout,2026-03-01 21:37:00
105,checkout_progress_indicator,105,treatment,checkout,2026-03-05 15:07:00
106,checkout_progress_indicator,106,control,checkout,2026-03-05 21:40:00
107,checkout_progress_indicator,107,treatment,checkout,2026-03-09 15:27:00
108,checkout_progress_indicator,108,control,checkout,2026-03-03 11:10:00
109,checkout_progress_indicator,109,control,checkout,2026-03-04 04:59:00
110,checkout_progress_indicator,110,treatment,checkout,2026-03-10 06:27:00
111,checkout_progress_indicator,111,treatment,checkout,2026-03-04 23:38:00
112,checkout_progress_indicator,112,control,checkout,2026-03-13 07:20:00
113,checkout_progress_indicator,113,treatment,checkout,2026-03-13 04:23:00
114,checkout_progress_indicator,114,control,checkout,2026-03-05 05:43:00
115,checkout_progress_indicator,115,control,checkout,2026-03-08 20:08:00
116,checkout_progress_indicator,116,control,checkout,2026-03-05 15:50:00
117,checkout_progress_indicator,117,control,checkout,2026-03-05 19:52:00
118,checkout_progress_indicator,118,treatment,checkout,2026-03-10 09:14:00
119,checkout_progress_indicator,119,control,checkout,2026-03-05 02:29:00
120,checkout_progress_indicator,120,treatment,checkout,2026-03-03 02:09:00
121,checkout_progress_indicator,121,control,checkout,2026-03-04 15:03:00
122,checkout_progress_indicator,122,treatment,checkout,2026-03-14 00:17:00
123,checkout_progress_indicator,123,treatment,checkout,2026-03-04 15:07:00
124,checkout_progress_indicator,124,treatment,checkout,2026-03-06 02:15:00
125,checkout_progress_indicator,125,control,checkout,2026-03-09 19:16:00
126,checkout_progress_indicator,126,treatment,checkout,2026-03-02 10:00:00
127,checkout_progress_indicator,127,treatment,checkout,2026-03-04 18:12:00
128,checkout_progress_indicator,128,control,checkout,2026-03-03 10:41:00
129,checkout_progress_indicator,129,control,checkout,2026-03-13 22:35:00
130,checkout_progress_indicator,130,control,checkout,2026-03-14 01:24:00
131,checkout_progress_indicator,131,control,checkout,2026-03-11 13:55:00
132,checkout_progress_indicator,132,control,checkout,2026-03-04 11:01:00
133,checkout_progress_indicator,133,control,checkout,2026-03-09 15:06:00
134,checkout_progress_indicator,134,control,checkout,2026-03-10 06:31:00
135,checkout_progress_indicator,135,treatment,checkout,2026-03-13 04:06:00
136,checkout_progress_indicator,136,control,checkout,2026-03-03 04:28:00
137,checkout_progress_indicator,137,control,checkout,2026-03-11 07:22:00
138,checkout_progress_indicator,138,treatment,checkout,2026-03-03 17:13:00
139,checkout_progress_indicator,139,control,checkout,2026-03-08 23:04:00
140,checkout_progress_indicator,140,control,checkout,2026-03-13 07:25:00
141,checkout_progress_indicator,141,control,checkout,2026-03-01 20:51:00
142,checkout_progress_indicator,142,control,checkout,2026-03-03 01:44:00
143,checkout_progress_indicator,143,control,checkout,2026-03-12 09:12:00
144,checkout_progress_indicator,144,control,checkout,2026-03-01 06:18:00
145,checkout_progress_indicator,145,control,checkout,2026-03-10 14:12:00
146,checkout_progress_indicator,146,treatment,checkout,2026-03-08 00:24:00
147,checkout_progress_indicator,147,treatment,checkout,2026-03-05 20:27:00
148,checkout_progress_indicator,148,control,checkout,2026-03-13 01:52:00
149,checkout_progress_indicator,149,control,checkout,2026-03-12 21:15:00
150,checkout_progress_indicator,150,control,checkout,2026-03-05 13:31:00
151,checkout_progress_indicator,151,treatment,checkout,2026-03-01 01:29:00
152,checkout_progress_indicator,152,treatment,checkout,2026-03-02 19:03:00
153,checkout_progress_indicator,153,control,checkout,2026-03-02 12:04:00
154,checkout_progress_indicator,154,control,checkout,2026-03-14 18:01:00
155,checkout_progress_indicator,155,control,checkout,2026-03-09 08:33:00
156,checkout_progress_indicator,156,treatment,checkout,2026-03-10 11:23:00
157,checkout_progress_indicator,157,treatment,checkout,2026-03-04 05:35:00
158,checkout_progress_indicator,158,control,checkout,2026-03-12 21:49:00
159,checkout_progress_indicator,159,treatment,checkout,2026-03-11 02:49:00
160,checkout_progress_indicator,160,control,checkout,2026-03-11 12:43:00
161,checkout_progress_indicator,161,treatment,checkout,2026-03-07 13:19:00
162,checkout_progress_indicator,162,treatment,checkout,2026-03-10 18:36:00
163,checkout_progress_indicator,163,control,checkout,2026-03-08 14:48:00
164,checkout_progress_indicator,164,control,checkout,2026-03-06 09:12:00
165,checkout_progress_indicator,165,treatment,checkout,2026-03-09 07:44:00
166,checkout_progress_indicator,166,control,checkout,2026-03-05 12:58:00
167,checkout_progress_indicator,167,treatment,checkout,2026-03-14 08:09:00
168,checkout_progress_indicator,168,control,checkout,2026-03-11 00:53:00
169,checkout_progress_indicator,169,treatment,checkout,2026-03-11 08:17:00
170,checkout_progress_indicator,170,control,checkout,2026-03-11 00:48:00
171,checkout_progress_indicator,171,control,checkout,2026-03-07 06:38:00
172,checkout_progress_indicator,172,control,checkout,2026-03-14 07:23:00
173,checkout_progress_indicator,173,control,checkout,2026-03-03 21:50:00
174,checkout_progress_indicator,174,control,checkout,2026-03-08 23:04:00
175,checkout_progress_indicator,175,treatment,checkout,2026-03-01 23:19:00
176,checkout_progress_indicator,176,control,checkout,2026-03-05 02:59:00
177,checkout_progress_indicator,177,control,checkout,2026-03-09 01:02:00
178,checkout_progress_indicator,178,control,checkout,2026-03-07 20:28:00
179,checkout_progress_indicator,179,control,checkout,2026-03-14 04:13:00
180,checkout_progress_indicator,180,treatment,checkout,2026-03-09 14:12:00
181,checkout_progress_indicator,181,treatment,checkout,2026-03-06 18:15:00
182,checkout_progress_indicator,182,control,checkout,2026-03-06 23:22:00
183,checkout_progress_indicator,183,treatment,checkout,2026-03-09 13:29:00
184,checkout_progress_indicator,184,treatment,checkout,2026-03-12 01:49:00
185,checkout_progress_indicator,185,treatment,checkout,2026-03-04 20:54:00
186,checkout_progress_indicator,186,control,checkout,2026-03-09 04:25:00
187,checkout_progress_indicator,187,control,checkout,2026-03-09 01:06:00
188,checkout_progress_indicator,188,control,checkout,2026-03-01 03:10:00
189,checkout_progress_indicator,189,treatment,checkout,2026-03-13 18:41:00
190,checkout_progress_indicator,190,treatment,checkout,2026-03-08 23:27:00
191,checkout_progress_indicator,191,control,checkout,2026-03-04 09:20:00
192,checkout_progress_indicator,192,control,checkout,2026-03-09 20:53:00
193,checkout_progress_indicator,193,treatment,checkout,2026-03-10 11:44:00
194,checkout_progress_indicator,194,treatment,checkout,2026-03-13 19:31:00
195,checkout_progress_indicator,195,control,checkout,2026-03-01 11:26:00
196,checkout_progress_indicator,196,treatment,checkout,2026-03-06 19:00:00
197,checkout_progress_indicator,197,control,checkout,2026-03-03 12:31:00
198,checkout_progress_indicator,198,control,checkout,2026-03-09 01:01:00
199,checkout_progress_indicator,199,treatment,checkout,2026-03-08 00:32:00
200,checkout_progress_indicator,200,treatment,checkout,2026-03-07 15:35:00
201,checkout_progress_indicator,201,treatment,checkout,2026-03-14 17:57:00
202,checkout_progress_indicator,202,control,checkout,2026-03-08 10:38:00
203,checkout_progress_indicator,203,control,checkout,2026-03-06 18:06:00
204,checkout_progress_indicator,204,control,checkout,2026-03-01 22:36:00
205,checkout_progress_indicator,205,control,checkout,2026-03-05 01:18:00
206,checkout_progress_indicator,206,control,checkout,2026-03-13 13:29:00
207,checkout_progress_indicator,207,control,checkout,2026-03-07 07:45:00
208,checkout_progress_indicator,208,control,checkout,2026-03-13 17:53:00
209,checkout_progress_indicator,209,control,checkout,2026-03-08 10:57:00
210,checkout_progress_indicator,210,control,checkout,2026-03-08 16:08:00
211,checkout_progress_indicator,211,treatment,checkout,2026-03-07 00:26:00
212,checkout_progress_indicator,212,control,checkout,2026-03-08 19:00:00
213,checkout_progress_indicator,213,treatment,checkout,2026-03-01 22:24:00
214,checkout_progress_indicator,214,treatment,checkout,2026-03-01 19:20:00
215,checkout_progress_indicator,215,treatment,checkout,2026-03-07 15:51:00
216,checkout_progress_indicator,216,control,checkout,2026-03-09 08:54:00
217,checkout_progress_indicator,217,control,checkout,2026-03-08 17:05:00
218,checkout_progress_indicator,218,treatment,checkout,2026-03-07 00:11:00
219,checkout_progress_indicator,219,treatment,checkout,2026-03-05 02:47:00
220,checkout_progress_indicator,220,control,checkout,2026-03-10 22:14:00
221,checkout_progress_indicator,221,control,checkout,2026-03-09 11:10:00
222,checkout_progress_indicator,222,treatment,checkout,2026-03-01 15:50:00
223,checkout_progress_indicator,223,control,checkout,2026-03-07 08:00:00
224,checkout_progress_indicator,224,treatment,checkout,2026-03-10 22:51:00
225,checkout_progress_indicator,225,control,checkout,2026-03-11 23:28:00
226,checkout_progress_indicator,226,control,checkout,2026-03-05 00:23:00
227,checkout_progress_indicator,227,treatment,checkout,2026-03-13 22:47:00
228,checkout_progress_indicator,228,control,checkout,2026-03-10 02:58:00
229,checkout_progress_indicator,229,treatment,checkout,2026-03-07 03:03:00
230,checkout_progress_indicator,230,control,checkout,2026-03-09 18:42:00
231,checkout_progress_indicator,231,control,checkout,2026-03-13 04:49:00
232,checkout_progress_indicator,232,treatment,checkout,2026-03-04 04:13:00
233,checkout_progress_indicator,233,control,checkout,2026-03-03 02:31:00
234,checkout_progress_indicator,234,control,checkout,2026-03-07 03:59:00
235,checkout_progress_indicator,235,treatment,checkout,2026-03-02 04:11:00
236,checkout_progress_indicator,236,treatment,checkout,2026-03-12 16:46:00
237,checkout_progress_indicator,237,treatment,checkout,2026-03-14 14:04:00
238,checkout_progress_indicator,238,control,checkout,2026-03-09 11:28:00
239,checkout_progress_indicator,239,control,checkout,2026-03-14 17:13:00
240,checkout_progress_indicator,240,treatment,checkout,2026-03-01 23:05:00
241,checkout_progress_indicator,241,control,checkout,2026-03-09 20:32:00
242,checkout_progress_indicator,242,control,checkout,2026-03-07 04:49:00
243,checkout_progress_indicator,243,treatment,checkout,2026-03-04 21:11:00
244,checkout_progress_indicator,244,control,checkout,2026-03-05 08:45:00
245,checkout_progress_indicator,245,control,checkout,2026-03-08 15:10:00
246,checkout_progress_indicator,246,control,checkout,2026-03-09 23:35:00
247,checkout_progress_indicator,247,control,checkout,2026-03-03 07:06:00
248,checkout_progress_indicator,248,treatment,checkout,2026-03-09 14:29:00
249,checkout_progress_indicator,249,treatment,checkout,2026-03-13 23:19:00
250,checkout_progress_indicator,250,control,checkout,2026-03-01 03:29:00
251,checkout_progress_indicator,251,control,checkout,2026-03-13 07:07:00
252,checkout_progress_indicator,252,treatment,checkout,2026-03-09 12:11:00
253,checkout_progress_indicator,253,control,checkout,2026-03-05 18:59:00
254,checkout_progress_indicator,254,control,checkout,2026-03-11 06:54:00
255,checkout_progress_indicator,255,treatment,checkout,2026-03-09 15:34:00
256,checkout_progress_indicator,256,treatment,checkout,2026-03-11 18:17:00
257,checkout_progress_indicator,257,control,checkout,2026-03-02 03:18:00
258,checkout_progress_indicator,258,treatment,checkout,2026-03-01 19:48:00
259,checkout_progress_indicator,259,control,checkout,2026-03-09 23:43:00
260,checkout_progress_indicator,260,treatment,checkout,2026-03-05 06:01:00
261,checkout_progress_indicator,261,treatment,checkout,2026-03-04 08:03:00
262,checkout_progress_indicator,262,treatment,checkout,2026-03-06 21:32:00
263,checkout_progress_indicator,263,treatment,checkout,2026-03-11 03:40:00
264,checkout_progress_indicator,264,treatment,checkout,2026-03-03 12:24:00
265,checkout_progress_indicator,265,control,checkout,2026-03-14 14:59:00
266,checkout_progress_indicator,266,control,checkout,2026-03-06 21:21:00
267,checkout_progress_indicator,267,treatment,checkout,2026-03-03 02:35:00
268,checkout_progress_indicator,268,treatment,checkout,2026-03-01 23:53:00
269,checkout_progress_indicator,269,control,checkout,2026-03-13 00:02:00
270,checkout_progress_indicator,270,treatment,checkout,2026-03-02 14:02:00
271,checkout_progress_indicator,271,treatment,checkout,2026-03-06 20:46:00
272,checkout_progress_indicator,272,control,checkout,2026-03-10 08:40:00
273,checkout_progress_indicator,273,control,checkout,2026-03-08 04:24:00
274,checkout_progress_indicator,274,control,checkout,2026-03-04 16:13:00
275,checkout_progress_indicator,275,control,checkout,2026-03-02 12:15:00
276,checkout_progress_indicator,276,control,checkout,2026-03-10 23:01:00
277,checkout_progress_indicator,277,control,checkout,2026-03-07 20:44:00
278,checkout_progress_indicator,278,control,checkout,2026-03-01 16:09:00
279,checkout_progress_indicator,279,control,checkout,2026-03-03 12:52:00
280,checkout_progress_indicator,280,treatment,checkout,2026-03-08 21:04:00
281,checkout_progress_indicator,281,control,checkout,2026-03-03 08:34:00
282,checkout_progress_indicator,282,treatment,checkout,2026-03-06 11:31:00
283,checkout_progress_indicator,283,treatment,checkout,2026-03-02 17:50:00
284,checkout_progress_indicator,284,treatment,checkout,2026-03-12 03:46:00
285,checkout_progress_indicator,285,treatment,checkout,2026-03-09 19:49:00
286,checkout_progress_indicator,286,treatment,checkout,2026-03-11 23:24:00
287,checkout_progress_indicator,287,control,checkout,2026-03-01 17:37:00
288,checkout_progress_indicator,288,treatment,checkout,2026-03-06 06:11:00
289,checkout_progress_indicator,289,control,checkout,2026-03-04 17:55:00
290,checkout_progress_indicator,290,treatment,checkout,2026-03-09 17:13:00
291,checkout_progress_indicator,291,control,checkout,2026-03-12 12:01:00
292,checkout_progress_indicator,292,control,checkout,2026-03-04 04:27:00
293,checkout_progress_indicator,293,control,checkout,2026-03-11 18:37:00
294,checkout_progress_indicator,294,treatment,checkout,2026-03-09 03:01:00
295,checkout_progress_indicator,295,control,checkout,2026-03-12 12:53:00
296,checkout_progress_indicator,296,control,checkout,2026-03-02 03:18:00
297,checkout_progress_indicator,297,control,checkout,2026-03-14 20:56:00
298,checkout_progress_indicator,298,control,checkout,2026-03-07 02:01:00
299,checkout_progress_indicator,299,treatment,checkout,2026-03-04 22:06:00
300,checkout_progress_indicator,300,treatment,checkout,2026-03-03 13:23:00
301,checkout_progress_indicator,301,control,checkout,2026-03-14 18:55:00
302,checkout_progress_indicator,302,control,checkout,2026-03-13 08:48:00
303,checkout_progress_indicator,303,control,checkout,2026-03-02 20:04:00
304,checkout_progress_indicator,304,control,checkout,2026-03-07 05:29:00
305,checkout_progress_indicator,305,treatment,checkout,2026-03-11 06:28:00
306,checkout_progress_indicator,306,treatment,checkout,2026-03-09 06:29:00
307,checkout_progress_indicator,307,control,checkout,2026-03-03 15:30:00
308,checkout_progress_indicator,308,treatment,checkout,2026-03-06 01:05:00
309,checkout_progress_indicator,309,control,checkout,2026-03-06 03:41:00
310,checkout_progress_indicator,310,treatment,checkout,2026-03-05 01:01:00
311,checkout_progress_indicator,311,treatment,checkout,2026-03-14 10:47:00
312,checkout_progress_indicator,312,treatment,checkout,2026-03-03 20:10:00
313,checkout_progress_indicator,313,treatment,checkout,2026-03-10 21:25:00
314,checkout_progress_indicator,314,treatment,checkout,2026-03-13 18:23:00
315,checkout_progress_indicator,315,control,checkout,2026-03-12 03:03:00
316,checkout_progress_indicator,316,control,checkout,2026-03-12 04:37:00
317,checkout_progress_indicator,317,control,checkout,2026-03-03 05:21:00
318,checkout_progress_indicator,318,control,checkout,2026-03-02 20:46:00
319,checkout_progress_indicator,319,treatment,checkout,2026-03-11 23:03:00
320,checkout_progress_indicator,320,treatment,checkout,2026-03-11 10:53:00
321,checkout_progress_indicator,321,treatment,checkout,2026-03-11 09:16:00
322,checkout_progress_indicator,322,control,checkout,2026-03-06 20:37:00
323,checkout_progress_indicator,323,treatment,checkout,2026-03-08 07:52:00
324,checkout_progress_indicator,324,treatment,checkout,2026-03-01 05:10:00
325,checkout_progress_indicator,325,control,checkout,2026-03-05 01:47:00
326,checkout_progress_indicator,326,control,checkout,2026-03-08 09:31:00
327,checkout_progress_indicator,327,control,checkout,2026-03-02 18:14:00
328,checkout_progress_indicator,328,control,checkout,2026-03-02 19:41:00
329,checkout_progress_indicator,329,treatment,checkout,2026-03-01 15:11:00
330,checkout_progress_indicator,330,treatment,checkout,2026-03-03 22:32:00
331,checkout_progress_indicator,331,treatment,checkout,2026-03-14 21:36:00
332,checkout_progress_indicator,332,control,checkout,2026-03-10 17:52:00
333,checkout_progress_indicator,333,treatment,checkout,2026-03-14 06:36:00
334,checkout_progress_indicator,334,treatment,checkout,2026-03-04 14:23:00
335,checkout_progress_indicator,335,control,checkout,2026-03-09 09:12:00
336,checkout_progress_indicator,336,treatment,checkout,2026-03-13 11:40:00
337,checkout_progress_indicator,337,control,checkout,2026-03-05 22:16:00
338,checkout_progress_indicator,338,control,checkout,2026-03-10 04:48:00
339,checkout_progress_indicator,339,control,checkout,2026-03-10 16:47:00
340,checkout_progress_indicator,340,control,checkout,2026-03-12 15:38:00
341,checkout_progress_indicator,341,treatment,checkout,2026-03-14 13:44:00
342,checkout_progress_indicator,342,control,checkout,2026-03-09 14:42:00
343,checkout_progress_indicator,343,control,checkout,2026-03-09 03:43:00
344,checkout_progress_indicator,344,control,checkout,2026-03-13 03:56:00
345,checkout_progress_indicator,345,control,checkout,2026-03-10 13:59:00
346,checkout_progress_indicator,346,control,checkout,2026-03-06 01:31:00
347,checkout_progress_indicator,347,control,checkout,2026-03-09 19:43:00
348,checkout_progress_indicator,348,treatment,checkout,2026-03-08 16:30:00
349,checkout_progress_indicator,349,control,checkout,2026-03-04 04:51:00
350,checkout_progress_indicator,350,treatment,checkout,2026-03-08 05:20:00
351,checkout_progress_indicator,351,control,checkout,2026-03-09 17:31:00
352,checkout_progress_indicator,352,treatment,checkout,2026-03-13 15:40:00
353,checkout_progress_indicator,353,treatment,checkout,2026-03-09 03:02:00
354,checkout_progress_indicator,354,control,checkout,2026-03-03 07:24:00
355,checkout_progress_indicator,355,control,checkout,2026-03-14 19:50:00
356,checkout_progress_indicator,356,treatment,checkout,2026-03-09 02:13:00
357,checkout_progress_indicator,357,control,checkout,2026-03-05 00:28:00
358,checkout_progress_indicator,358,treatment,checkout,2026-03-11 13:29:00
359,checkout_progress_indicator,359,control,checkout,2026-03-06 09:15:00
360,checkout_progress_indicator,360,control,checkout,2026-03-06 04:20:00
361,checkout_progress_indicator,361,treatment,checkout,2026-03-12 18:03:00
362,checkout_progress_indicator,362,treatment,checkout,2026-03-13 03:30:00
363,checkout_progress_indicator,363,control,checkout,2026-03-08 08:02:00
364,checkout_progress_indicator,364,treatment,checkout,2026-03-06 05:19:00
365,checkout_progress_indicator,365,treatment,checkout,2026-03-13 02:03:00
366,checkout_progress_indicator,366,control,checkout,2026-03-03 10:13:00
367,checkout_progress_indicator,367,control,checkout,2026-03-11 11:03:00
368,checkout_progress_indicator,368,control,checkout,2026-03-09 04:14:00
369,checkout_progress_indicator,369,control,checkout,2026-03-12 22:57:00
370,checkout_progress_indicator,370,treatment,checkout,2026-03-06 21:18:00
371,checkout_progress_indicator,371,control,checkout,2026-03-12 15:33:00
372,checkout_progress_indicator,372,control,checkout,2026-03-01 05:06:00
373,checkout_progress_indicator,373,treatment,checkout,2026-03-11 14:46:00
374,checkout_progress_indicator,374,treatment,checkout,2026-03-01 23:27:00
375,checkout_progress_indicator,375,treatment,checkout,2026-03-09 23:50:00
376,checkout_progress_indicator,376,treatment,checkout,2026-03-03 17:36:00
377,checkout_progress_indicator,377,control,checkout,2026-03-14 11:43:00
378,checkout_progress_indicator,378,treatment,checkout,2026-03-11 18:29:00
379,checkout_progress_indicator,379,control,checkout,2026-03-02 11:09:00
380,checkout_progress_indicator,380,control,checkout,2026-03-13 11:43:00
381,checkout_progress_indicator,381,control,checkout,2026-03-04 12:39:00
382,checkout_progress_indicator,382,treatment,checkout,2026-03-08 15:20:00
383,checkout_progress_indicator,383,treatment,checkout,2026-03-02 04:39:00
384,checkout_progress_indicator,384,control,checkout,2026-03-02 11:28:00
385,checkout_progress_indicator,385,treatment,checkout,2026-03-04 09:04:00
386,checkout_progress_indicator,386,treatment,checkout,2026-03-08 11:33:00
387,checkout_progress_indicator,387,control,checkout,2026-03-08 14:24:00
388,checkout_progress_indicator,388,treatment,checkout,2026-03-12 23:29:00
389,checkout_progress_indicator,389,control,checkout,2026-03-03 07:29:00
390,checkout_progress_indicator,390,treatment,checkout,2026-03-11 11:49:00
391,checkout_progress_indicator,391,control,checkout,2026-03-01 01:58:00
392,checkout_progress_indicator,392,control,checkout,2026-03-05 01:48:00
393,checkout_progress_indicator,393,control,checkout,2026-03-03 10:48:00
394,checkout_progress_indicator,394,control,checkout,2026-03-02 17:37:00
395,checkout_progress_indicator,395,treatment,checkout,2026-03-09 04:24:00
396,checkout_progress_indicator,396,control,checkout,2026-03-13 14:37:00
397,checkout_progress_indicator,397,control,checkout,2026-03-10 08:06:00
398,checkout_progress_indicator,398,treatment,checkout,2026-03-12 22:58:00
399,checkout_progress_indicator,399,treatment,checkout,2026-03-09 06:43:00
